plug1_rssi_00:0b:57:27:be:57,plug2_rssi_00:0b:57:27:be:c6,plug3_rssi_00:0b:57:27:c0:7f,plug4_rssi_00:0b:57:27:c0:93,plug1_current_00:0b:57:27:be:57,plug2_current_00:0b:57:27:be:c6,plug3_current_00:0b:57:27:c0:7f,plug4_current_00:0b:57:27:c0:93
31,37,38,36,0,0,0,0
34,36,38,34,0,0,0,0
32,38,37,33,0,0,0,0
30,39,37,34,0,0,0,0
30,39,37,34,0,0,0,0
28,39,41,34,0,0,0,0
30,39,45,37,0,0,0,0
30,39,45,37,0,0,0,0
31,40,48,37,0,0,0,0
33,41,48,38,0,0,0,0
33,41,48,38,0,0,0,0
37,40,42,39,0,0,0,0
37,38,37,39,0,0,0,0
38,36,38,39,0,0,0,0
40,34,39,39,0,0,0,0
43,33,36,40,0,0,0,0
43,33,36,40,0,0,0,0
47,33,32,41,0,0,0,0
48,33,31,39,0,0,0,0
48,33,31,39,0,0,0,0
48,36,34,36,0,0,0,0
47,37,36,36,0,0,0,0
47,36,36,37,0,0,0,0
47,36,36,37,0,0,0,0
47,37,38,39,0,0,0,0
45,37,38,38,0,0,0,0
45,37,38,38,0,0,0,0
43,37,37,37,0,0,0,0
42,37,36,37,0,0,0,0
44,37,37,38,0,0,0,0
44,37,37,38,0,0,0,0
46,34,35,38,0,0,0,0
46,29,33,40,0,0,0,0
45,29,35,41,0,0,0,0
45,29,35,41,0,0,0,0
41,29,37,43,0,0,0,0
36,32,38,41,0,0,0,0
36,37,41,40,0,0,0,0
36,37,41,40,0,0,0,0
34,39,42,39,0,0,0,0
34,41,46,37,0,0,0,0
34,41,46,37,0,0,0,0
33,41,48,34,0,0,0,0
30,37,38,34,0,0,0,0
28,36,34,33,0,0,0,0
28,36,34,33,0,0,0,0
27,37,33,33,0,0,0,0
27,38,33,34,0,0,0,0
27,38,33,34,0,0,0,0
26,40,34,34,0,0,0,0
26,40,34,34,0,0,0,0
26,41,36,32,0,0,0,0
30,38,32,32,0,0,0,0
29,38,35,32,0,0,0,0
29,38,35,32,0,0,0,0
30,40,37,33,0,0,0,0
29,40,41,34,0,0,0,0
29,40,41,34,0,0,0,0
30,41,42,34,0,0,0,0
32,42,42,34,0,0,0,0
32,43,44,35,0,0,0,0
32,43,44,35,0,0,0,0
33,40,45,37,0,0,0,0
35,39,39,37,0,0,0,0
35,37,37,38,0,0,0,0
37,37,38,39,0,0,0,0
41,36,37,39,0,0,0,0
41,36,37,39,0,0,0,0
44,38,37,41,0,0,0,0
46,39,34,43,0,0,0,0
46,39,34,43,0,0,0,0
47,39,35,45,0,0,0,0
51,36,35,43,0,0,0,0
51,36,35,43,0,0,0,0
54,35,35,42,1,0,0,0
56,32,35,37,1,0,0,0
56,32,35,37,1,0,0,0
56,32,35,35,1,0,0,0
56,31,36,33,1,0,0,0
56,31,36,33,1,0,0,0
56,32,35,33,1,0,0,0
56,31,35,32,1,0,0,0
56,31,35,32,1,0,0,0
55,32,35,34,1,0,0,0
55,31,35,34,1,0,0,0
54,33,35,36,1,0,0,0
54,33,35,36,0,0,0,0
52,35,35,38,0,0,0,0
47,36,35,41,0,0,0,0
47,36,35,41,0,0,0,0
42,37,36,40,0,0,0,0
37,40,39,39,0,0,0,0
37,40,39,39,0,0,0,0
33,41,42,37,0,0,0,0
32,42,43,36,0,0,0,0
32,42,43,36,0,0,0,0
32,42,46,34,0,0,0,0
32,41,46,33,0,0,0,0
32,39,43,32,0,0,0,0
32,39,43,32,0,0,0,0
30,36,40,31,0,0,0,0
29,35,34,32,0,0,0,0
26,32,31,25,0,0,0,0
26,33,31,26,0,0,0,0
27,32,31,26,0,0,0,0
27,32,31,26,0,0,0,0
28,29,32,28,0,0,0,0
28,27,32,28,0,0,0,0
27,27,32,28,0,0,0,0
27,27,32,28,0,0,0,0
28,30,33,30,0,0,0,0
28,33,34,30,0,0,0,0
28,33,34,30,0,0,0,0
28,32,34,32,0,0,0,0
29,34,34,32,0,0,0,0
29,34,34,32,0,0,0,0
28,34,34,31,0,0,0,0
28,37,33,32,0,0,0,0
28,39,33,32,0,0,0,0
28,46,34,33,0,0,0,0
28,46,34,33,0,0,0,0
28,49,37,35,0,0,0,0
28,45,37,35,0,0,0,0
28,45,37,35,0,0,0,0
29,41,36,38,0,0,0,1
30,41,33,42,0,0,0,1
30,41,33,42,0,0,0,1
30,39,34,46,0,0,0,0
29,42,34,48,0,0,0,0
29,42,34,48,0,0,0,0
27,43,34,50,0,0,0,0
27,41,33,49,0,0,0,0
26,40,33,45,0,0,0,0
26,40,33,45,0,0,0,0
27,40,33,38,0,0,0,0
29,42,35,36,0,0,0,0
29,42,35,36,0,0,0,0
28,43,36,34,0,0,0,0
28,43,37,36,0,0,0,0
28,43,38,34,0,0,0,0
28,41,37,32,0,0,0,0
28,41,37,32,0,0,0,0
30,37,33,32,0,0,0,0
30,35,33,31,0,0,0,0
30,35,33,31,0,0,0,0
30,34,33,29,0,0,0,0
30,35,32,30,0,0,0,0
30,35,32,30,0,0,0,0
32,37,32,29,0,0,0,0
33,38,34,28,0,0,0,0
33,38,34,28,0,0,0,0
33,39,36,28,0,0,0,0
32,38,34,30,0,0,0,0
29,37,31,31,0,0,0,0
29,37,31,31,0,0,0,0
28,37,31,30,0,0,0,0
27,37,35,31,0,0,0,0
27,37,35,31,0,0,0,0
25,35,36,31,0,0,0,0
24,36,33,31,0,0,0,0
24,36,33,31,0,0,0,0
24,39,31,33,0,0,0,0
23,31,30,25,0,0,0,0
23,32,30,23,0,0,0,0
23,37,32,21,0,0,0,0
23,37,32,21,0,0,0,1
23,35,32,20,0,0,0,1
23,31,32,19,0,0,0,1
23,31,32,19,0,0,0,1
23,32,33,21,0,0,0,1
24,33,34,27,0,0,0,1
24,33,34,27,0,0,0,1
25,36,36,31,0,0,0,1
26,36,37,34,0,0,0,1
27,36,37,33,0,0,0,1
27,36,37,33,0,0,0,1
27,36,36,31,0,0,0,1
27,44,33,32,0,0,0,1
27,48,37,34,0,0,0,1
27,48,37,34,0,0,0,1
27,48,37,34,0,0,0,1
28,43,37,35,0,0,0,1
28,43,37,35,0,0,0,1
28,37,34,39,0,0,0,1
28,35,32,43,0,0,0,1
28,35,32,43,0,0,0,0
27,33,32,46,0,0,0,0
25,37,33,44,0,0,0,0
26,39,33,38,0,0,0,0
26,39,33,38,0,0,0,0
27,42,33,34,0,0,0,0
27,45,34,35,0,0,0,0
27,45,34,35,0,0,0,0
26,50,36,32,0,0,0,0
27,48,37,31,0,0,0,0
27,48,37,31,0,0,0,0
27,41,35,31,0,0,0,0
27,36,34,29,0,0,0,0
27,36,34,29,0,0,0,0
26,34,34,29,0,0,0,0
31,31,35,39,0,0,0,0
31,33,35,38,0,0,0,0
31,37,36,37,0,0,0,0
32,40,38,36,0,0,0,0
32,40,38,36,0,0,0,0
32,41,42,36,0,0,0,0
31,41,43,37,0,0,0,0
31,41,43,37,0,0,0,0
29,43,42,36,0,0,0,0
30,49,41,36,0,0,0,0
30,49,41,36,0,0,0,0
30,52,40,39,0,0,0,0
29,52,38,40,0,1,0,0
29,52,38,40,0,1,0,0
28,50,39,37,0,1,0,0
29,52,39,36,0,1,0,0
28,53,36,37,0,1,0,0
28,53,36,37,0,1,0,0
28,53,34,38,0,1,0,0
26,52,34,38,0,1,0,0
26,52,34,38,0,1,0,0
25,52,32,38,0,1,0,0
26,52,33,39,0,0,0,0
26,52,33,39,0,1,0,0
27,49,33,40,0,0,0,0
29,48,33,40,0,0,0,0
29,48,33,40,0,0,0,0
30,50,34,38,0,0,0,0
30,52,35,37,0,0,0,0
29,53,35,37,0,0,0,0
29,53,35,37,0,0,0,0
28,51,35,38,0,0,0,0
29,50,35,39,0,0,0,0
29,50,35,39,0,0,0,0
35,38,42,39,0,0,0,0
35,38,42,39,0,0,0,0
35,38,43,37,0,0,0,0
35,40,43,36,0,0,0,0
35,40,43,36,0,0,0,0
35,41,42,36,0,0,0,0
33,42,45,38,0,0,0,0
33,42,45,38,0,0,0,0
32,44,45,39,0,0,0,0
30,46,41,38,0,1,0,0
30,46,41,38,0,1,0,0
29,49,38,38,0,1,0,0
30,50,40,41,0,1,0,0
30,50,40,41,0,1,0,0
30,52,42,42,0,1,0,0
30,55,41,42,0,1,0,0
27,56,42,40,0,1,0,0
27,56,42,40,0,1,0,0
27,57,42,36,0,1,0,0
26,57,42,34,0,1,0,0
26,57,42,34,0,1,0,0
26,57,42,34,0,1,0,0
25,56,43,34,0,1,0,0
25,56,43,34,0,1,0,0
25,54,45,34,0,1,0,0
26,54,46,34,0,1,0,0
26,54,46,34,0,1,0,0
27,55,44,33,0,0,0,0
28,57,44,32,0,1,0,0
28,57,44,32,0,1,0,0
28,54,45,31,0,1,0,0
28,55,46,32,0,1,0,0
